question,answer
What are the best crops to grow in South Sudan during the rainy season? (19),"Maize, sorghum, groundnuts, and sesame are good crops for the rainy season in South Sudan. (Advice #19)"
How can I improve soil fertility? (19),"Use organic compost, rotate crops, and apply animal manure for better soil health. (Advice #19)"
What fertilizer is good for maize? (19),DAP at planting and UREA during top dressing stage work well for maize. (Advice #19)
How do I protect my crops from armyworms? (19),"Use neem-based pesticides, early planting, and regular field inspection to control armyworms. (Advice #19)"
When is the best time to plant sorghum? (19),"Start planting sorghum at the beginning of the rainy season, around May to June. (Advice #19)"
Which crops need little water? (19),"Cowpeas, millet, and cassava need less water and survive dry spells better. (Advice #19)"
How can I get market for my vegetables? (19),Join local farmer cooperatives and attend weekly town markets to find buyers. (Advice #19)
How do I store groundnuts safely? (19),"Dry the pods well and store them in clean, dry sacks away from moisture. (Advice #19)"
What causes yellow leaves on maize? (19),Yellowing may be due to nitrogen deficiency or water logging. (Advice #19)
How to control aphids on beans? (19),Use neem spray or mix soapy water and spray directly on the aphids. (Advice #19)
Where can I get certified seeds? (19),You can get certified seeds from agro-dealers in Juba or through NGOs like FAO or CRS. (Advice #19)
How do I prevent post-harvest loss? (19),"Harvest early in the day, dry crops thoroughly, and store in airtight containers. (Advice #19)"
What is the benefit of crop rotation? (19),It prevents soil nutrient depletion and controls pests and diseases. (Advice #19)
Can I grow tomatoes in dry season? (19),"Yes, with irrigation and mulching to conserve moisture, tomatoes can be grown off-season. (Advice #19)"
How much water does okra need? (19),Okra needs watering 2–3 times a week depending on soil type and weather. (Advice #19)
What are the best crops to grow in South Sudan during the rainy season? (20),"Maize, sorghum, groundnuts, and sesame are good crops for the rainy season in South Sudan. (Advice #20)"
How can I improve soil fertility? (20),"Use organic compost, rotate crops, and apply animal manure for better soil health. (Advice #20)"
What fertilizer is good for maize? (20),DAP at planting and UREA during top dressing stage work well for maize. (Advice #20)
How do I protect my crops from armyworms? (20),"Use neem-based pesticides, early planting, and regular field inspection to control armyworms. (Advice #20)"
When is the best time to plant sorghum? (20),"Start planting sorghum at the beginning of the rainy season, around May to June. (Advice #20)"
Which crops need little water? (20),"Cowpeas, millet, and cassava need less water and survive dry spells better. (Advice #20)"
How can I get market for my vegetables? (20),Join local farmer cooperatives and attend weekly town markets to find buyers. (Advice #20)
How do I store groundnuts safely? (20),"Dry the pods well and store them in clean, dry sacks away from moisture. (Advice #20)"
What causes yellow leaves on maize? (20),Yellowing may be due to nitrogen deficiency or water logging. (Advice #20)
How to control aphids on beans? (20),Use neem spray or mix soapy water and spray directly on the aphids. (Advice #20)
Where can I get certified seeds? (20),You can get certified seeds from agro-dealers in Juba or through NGOs like FAO or CRS. (Advice #20)
How do I prevent post-harvest loss? (20),"Harvest early in the day, dry crops thoroughly, and store in airtight containers. (Advice #20)"
What is the benefit of crop rotation? (20),It prevents soil nutrient depletion and controls pests and diseases. (Advice #20)
Can I grow tomatoes in dry season? (20),"Yes, with irrigation and mulching to conserve moisture, tomatoes can be grown off-season. (Advice #20)"
How much water does okra need? (20),Okra needs watering 2–3 times a week depending on soil type and weather. (Advice #20)
